secteur;Activity;Country;Haul;Class;Type;Material;Fuel;load;Waste type;Size;Unit;Year;kg CO2e;kg CO2;kg CH4;kg N2O;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Lower medium;;Battery Electric Vehicle;;;;km;;0,00503;0,00499;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Lower medium;;Battery Electric Vehicle;;;;miles;;0,00809;0,00803;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Upper medium;;Battery Electric Vehicle;;;;km;;0,00405;0,00402;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Upper medium;;Battery Electric Vehicle;;;;miles;;0,00653;0,00647;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Executive;;Battery Electric Vehicle;;;;km;;0,00000;;;;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Executive;;Battery Electric Vehicle;;;;miles;;0,00000;;;;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Luxury;;Battery Electric Vehicle;;;;km;;0,00612;0,00607;0,00002;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Luxury;;Battery Electric Vehicle;;;;miles;;0,00983;0,00976;0,00002;0,00005;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Sports;;Battery Electric Vehicle;;;;km;;0,00780;0,00774;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Sports;;Battery Electric Vehicle;;;;miles;;0,01256;0,01246;0,00003;0,00007;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Dual purpose 4X4;;Battery Electric Vehicle;;;;km;;0,00700;0,00694;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by market segment);;;;Dual purpose 4X5;;Battery Electric Vehicle;;;;miles;;0,01126;0,01117;0,00003;0,00006;;;
UK electricity T&D for EVs;Cars (by market segment);;;;MPV;;Battery Electric Vehicle;;;;km;;0,00557;0,00553;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by market segment);;;;MPV;;Battery Electric Vehicle;;;;miles;;0,00897;0,00890;0,00002;0,00005;;;
UK electricity T&D for EVs;Cars (by size);;;;Small car;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00372;0,00369;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by size);;;;Small car;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00598;0,00594;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by size);;;;Medium car;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00336;0,00333;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by size);;;;Medium car;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00540;0,00536;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by size);;;;Large car;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00415;0,00412;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by size);;;;Large car;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00669;0,00663;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by size);;;;Average car;;Plug-in Hybrid Electric Vehicle;;;;km;;0,00386;0,00383;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by size);;;;Average car;;Plug-in Hybrid Electric Vehicle;;;;miles;;0,00622;0,00617;0,00002;0,00003;;;
UK electricity T&D for EVs;Cars (by size);;;;Small car;;Battery Electric Vehicle;;;;km;;0,00429;0,00426;0,00001;0,00002;;;
UK electricity T&D for EVs;Cars (by size);;;;Small car;;Battery Electric Vehicle;;;;miles;;0,00691;0,00685;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by size);;;;Medium car;;Battery Electric Vehicle;;;;km;;0,00502;0,00498;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by size);;;;Medium car;;Battery Electric Vehicle;;;;miles;;0,00808;0,00802;0,00002;0,00004;;;
UK electricity T&D for EVs;Cars (by size);;;;Large car;;Battery Electric Vehicle;;;;km;;0,00613;0,00608;0,00002;0,00003;;;
UK electricity T&D for EVs;Cars (by size);;;;Large car;;Battery Electric Vehicle;;;;miles;;0,00986;0,00979;0,00002;0,00005;;;
UK electricity T&D for EVs;Cars (by size);;;;Average car;;Battery Electric Vehicle;;;;km;;0,00511;0,00507;0,00001;0,00003;;;
UK electricity T&D for EVs;Cars (by size);;;;Average car;;Battery Electric Vehicle;;;;miles;;0,00822;0,00816;0,00002;0,00004;;;
UK electricity T&D for EVs;Vans;;;;Class I (up to 1.305 tonnes);;Plug-in Hybrid Electric Vehicle;;;;tonne.km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class I (up to 1.305 tonnes);;Plug-in Hybrid Electric Vehicle;;;;km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class I (up to 1.305 tonnes);;Plug-in Hybrid Electric Vehicle;;;;miles;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class II (1.305 to 1.74 tonnes);;Plug-in Hybrid Electric Vehicle;;;;tonne.km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class II (1.305 to 1.74 tonnes);;Plug-in Hybrid Electric Vehicle;;;;km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class II (1.305 to 1.74 tonnes);;Plug-in Hybrid Electric Vehicle;;;;miles;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class III (1.74 to 3.5 tonnes);;Plug-in Hybrid Electric Vehicle;;;;tonne.km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class III (1.74 to 3.5 tonnes);;Plug-in Hybrid Electric Vehicle;;;;km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class III (1.74 to 3.5 tonnes);;Plug-in Hybrid Electric Vehicle;;;;miles;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Average (up to 3.5 tonnes);;Plug-in Hybrid Electric Vehicle;;;;tonne.km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Average (up to 3.5 tonnes);;Plug-in Hybrid Electric Vehicle;;;;km;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Average (up to 3.5 tonnes);;Plug-in Hybrid Electric Vehicle;;;;miles;;;;;;;;
UK electricity T&D for EVs;Vans;;;;Class I (up to 1.305 tonnes);;Battery Electric Vehicle;;;;tonne.km;;0,02586;0,02566;0,00006;0,00014;;;
